index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2019-02-28,242.625,4.369863324315449,3.867275986138955,3.799803145127856,142.571,137.891,164.177,6936608.744444446,6045320.4,329516264.6666666,18346.012076113286,1.3876566228049951,119.89713716980437,217985.25,2099862.75,142603816.0,0.1485458801281065,1.4705323102584613
2019-03-31,257.38,4.26109334005838,3.824464964022112,3.7150280850304376,143.297,138.214,164.845,6957283.066666666,6072704.533333332,329631772.0,18422.71076979598,1.349942565656193,120.33423652224278,193553.79999999996,1959156.4000000001,142607721.6,0.13436337371825532,1.3702256454481903
2019-05-31,265.275,4.071394131852109,3.649735801100749,3.5333352611973257,144.183,138.55,165.952,7021349.688888888,6096074.466666667,329883110.6666667,18479.48117440878,1.3957096606497843,121.65158789610538,190723.0,1514266.5,143193910.0,0.1318403666295692,1.056288274136319
2019-06-30,267.14,3.802016128191676,3.4742344838534254,3.2368364444459643,144.243,138.849,166.5,7053382.999999997,6107759.433333333,330008780.0,18507.856537980595,1.4185973823467073,122.31039424978331,219774.40000000002,1546540.8,143193910.0,0.14841704959887494,1.0780521081644117
2019-07-31,263.625,3.764822134387352,3.4649639247235466,3.202338098673031,144.409,138.978,166.903,7077290.066666666,6121126.377777779,330169981.3333333,18539.28861144466,1.4253374834684693,122.83004753977343,198203.75,1665355.5,143768789.0,0.133543409475857,1.1570875544377281
2019-09-30,262.1,3.6027804261658445,3.3811189977704914,3.1129855665606154,144.428,139.301,167.586,7125104.200000001,6147860.266666666,330492384.0,18602.161469285173,1.438815220139141,123.86950254751103,176253.25,1392884.5,143768789.0,0.12128744221959951,0.9673168462731737
2019-10-31,247.92499999999998,3.686488379696547,3.381724114317172,3.1412055972191135,144.629,139.45,167.534,7145937.611111111,6167800.544444445,330652119.6666666,18653.420719868027,1.4519079657166423,124.23810290424551,196987.75,1382358.0,144278066.0,0.1354391865346895,0.9572316768777568
2019-11-30,260.26,3.6946977041104208,3.4123480571663785,3.1572895688177827,144.518,139.422,167.743,7166771.022222225,6187740.822222223,330811855.3333334,18704.67526698397,1.4650068732860135,124.60678494137287,249671.0,1525787.7999999998,144280895.0,0.1675119275860209,1.049982869383339
2019-12-31,261.05,3.7198511675090122,3.392143847478112,3.177351308485329,144.251,139.15,168.046,7187604.4333333345,6207681.100000001,330971591.0,18755.925117443083,1.4781119339254345,124.97554854062987,300338.25,1846169.0,144287936.0,0.19692568963384802,1.267393235651352
2020-02-29,269.7,3.46492082118733,3.261910604651913,2.9699326584057957,145.193,140.333,169.3,7139824.699999998,6251910.522222223,331187823.00000006,18877.18957384414,1.3945576556746786,125.93376151633045,207286.60000000003,2061087.1999999997,144695661.2,0.14054385107314987,1.422812843842619
